temperature,date
14.8,2025-02-19 13:32:22.585706+00:00
14.4,2025-02-19 13:38:24.328899+00:00
14,2025-02-19 13:50:27.822990+00:00
13.8,2025-02-19 14:02:31.351115+00:00
14.6,2025-02-19 14:14:34.881410+00:00
15,2025-02-19 14:20:36.605315+00:00
14.6,2025-02-19 14:32:40.094492+00:00
14.4,2025-02-19 14:38:41.800092+00:00
14.2,2025-02-19 14:44:43.615946+00:00
14,2025-02-19 14:50:45.381351+00:00
13.8,2025-02-19 14:56:47.155867+00:00
14.6,2025-02-19 15:08:50.643904+00:00
15.2,2025-02-19 15:14:52.447121+00:00
15,2025-02-19 15:20:54.176123+00:00
14.8,2025-02-19 15:26:55.925108+00:00
14.6,2025-02-19 15:32:57.685947+00:00
14.4,2025-02-19 15:38:59.453402+00:00
14.2,2025-02-19 15:45:01.224090+00:00
14,2025-02-19 15:51:03.011176+00:00
13.8,2025-02-19 15:57:04.781079+00:00
14.6,2025-02-19 16:09:08.286166+00:00
15.4,2025-02-19 16:15:10.020637+00:00
15.2,2025-02-19 16:21:11.787493+00:00
15,2025-02-19 16:27:13.493342+00:00
14.6,2025-02-19 16:33:15.210572+00:00
14.4,2025-02-19 16:39:16.960236+00:00
14.2,2025-02-19 16:45:18.703007+00:00
14,2025-02-19 16:51:20.463957+00:00
13.8,2025-02-19 16:57:22.220362+00:00
13.6,2025-02-19 17:15:27.505798+00:00
13.4,2025-02-19 17:21:29.333142+00:00
13.2,2025-02-19 17:33:32.918108+00:00
13,2025-02-19 17:39:34.715046+00:00
12.8,2025-02-19 17:51:38.333590+00:00
12.6,2025-02-19 18:03:41.952185+00:00
12.4,2025-02-19 18:15:45.565362+00:00
12.2,2025-02-19 18:27:49.210899+00:00
12,2025-02-19 18:39:52.811343+00:00
11.8,2025-02-19 18:51:56.500243+00:00
12,2025-02-19 18:57:58.332657+00:00
12.6,2025-02-19 19:04:00.155434+00:00
13.4,2025-02-19 19:10:01.948633+00:00
13.2,2025-02-19 19:22:05.522214+00:00
13,2025-02-19 19:28:07.312125+00:00
12.8,2025-02-19 19:46:12.725020+00:00
12.6,2025-02-19 19:52:14.514782+00:00
12.4,2025-02-19 20:04:18.129079+00:00
12.2,2025-02-19 20:16:21.778534+00:00
12,2025-02-19 20:28:25.422076+00:00
11.8,2025-02-19 20:40:29.019172+00:00
12,2025-02-19 20:46:30.894661+00:00
12.8,2025-02-19 20:52:32.711141+00:00
13.4,2025-02-19 20:58:34.500857+00:00
13.2,2025-02-19 21:10:38.074476+00:00
13,2025-02-19 21:22:41.694568+00:00
12.8,2025-02-19 21:28:43.503529+00:00
12.6,2025-02-19 21:40:47.094524+00:00
12.4,2025-02-19 21:52:50.744495+00:00
12.2,2025-02-19 21:58:52.609605+00:00
12,2025-02-19 22:10:56.225816+00:00
11.8,2025-02-19 22:22:59.930573+00:00
12,2025-02-19 22:29:01.755648+00:00
12.8,2025-02-19 22:35:03.517098+00:00
13.6,2025-02-19 22:41:05.348790+00:00
13.4,2025-02-19 22:53:08.917174+00:00
13.2,2025-02-19 22:59:10.713728+00:00
13,2025-02-19 23:05:12.513426+00:00
12.8,2025-02-19 23:11:14.318634+00:00
12.6,2025-02-19 23:23:17.951568+00:00
12.4,2025-02-19 23:29:19.766001+00:00
12.2,2025-02-19 23:41:23.368163+00:00
12,2025-02-19 23:47:25.243067+00:00
11.8,2025-02-19 23:59:28.954669+00:00
12,2025-02-20 00:05:30.789547+00:00
12.8,2025-02-20 00:11:32.554845+00:00
13.4,2025-02-20 00:17:34.326609+00:00
13.2,2025-02-20 00:29:37.955959+00:00
13,2025-02-20 00:35:39.763008+00:00
12.8,2025-02-20 00:41:41.530162+00:00
12.6,2025-02-20 00:53:45.212851+00:00
12.4,2025-02-20 00:59:47.040171+00:00
12.2,2025-02-20 01:11:50.707946+00:00
12,2025-02-20 01:23:54.375110+00:00
11.8,2025-02-20 01:35:58.051881+00:00
12.8,2025-02-20 01:47:56.171618+00:00
13.4,2025-02-20 01:53:57.959070+00:00
13.2,2025-02-20 02:06:01.526284+00:00
13,2025-02-20 02:12:03.272795+00:00
12.8,2025-02-20 02:18:05.119728+00:00
12.6,2025-02-20 02:30:08.715974+00:00
12.4,2025-02-20 02:36:10.507017+00:00
12.2,2025-02-20 02:48:14.122550+00:00
12,2025-02-20 02:54:15.929738+00:00
11.8,2025-02-20 03:06:19.565221+00:00
12.8,2025-02-20 03:18:22.111192+00:00
13.4,2025-02-20 03:24:23.900773+00:00
13.2,2025-02-20 03:36:27.482663+00:00
13,2025-02-20 03:42:29.229687+00:00
12.8,2025-02-20 03:48:31.077231+00:00
12.6,2025-02-20 03:54:32.875115+00:00
12.4,2025-02-20 04:06:36.505139+00:00
12.2,2025-02-20 04:12:38.316690+00:00
12,2025-02-20 04:24:41.969310+00:00
11.8,2025-02-20 04:30:43.793575+00:00
12,2025-02-20 04:36:45.586199+00:00
12.8,2025-02-20 04:42:47.399663+00:00
13.6,2025-02-20 04:48:49.177815+00:00
13.4,2025-02-20 04:54:50.959514+00:00
13.2,2025-02-20 05:00:52.766437+00:00
13,2025-02-20 05:06:54.579925+00:00
